id,entity_name,total_tenders,scc_relevant_count,avg_fee,strategic_value,insight,action,competitors_present,top_categories,built_at
1,"Ministry of Housing and Urban Planning",58,10,79.31,CRITICAL,"The Ministry of Housing and Urban Planning issues significant tenders, including the Sultan Haitham City mega-project, which positions them as a critical entity for SCC. With a maximum fee of 300 OMR for relevant tenders, SCC can expect high competition but also substantial opportunities given their active participation in this entity's tenders.","SCC should strengthen relationships with the Ministry and focus on securing major projects like Sultan Haitham City.",[],"[""Supply"", ""Services"", ""Construction and Maintenance""]","2026-05-19 02:13:55.195755"
2,"Ministry of Transport Communications and Information Technology",44,5,118.26,HIGH,"This ministry issues tenders with a maximum fee of 1200 OMR, indicating a focus on substantial infrastructure projects. SCC is already active in their tenders, but they face competition from established players like Al Tasnim and Strabag.","SCC should enhance its bidding strategies to remain competitive and leverage its existing relationship with the ministry.","[""Al Tasnim"", ""Strabag""]","[""Construction and Maintenance"", ""Services"", ""Supply""]","2026-05-19 02:13:55.196358"
3,"Public Authority for Special Economic Zones and Free Zones",15,3,254.67,HIGH,"With a maximum fee of 3000 OMR for relevant tenders, this authority presents significant opportunities for SCC, despite not currently being active in their tenders. The average fee of 254.67 OMR suggests a mix of small and large projects.","SCC should initiate engagement with this authority to explore upcoming major projects and establish a presence.","[""Galfar""]","[""Consulting Offices"", ""Services"", ""Construction and Maintenance""]","2026-05-19 02:13:55.196694"
4,"Salalah Free Zone Company S.A.O.C.",3,3,116.67,LOW,"This entity primarily issues small-scale tenders, with a maximum fee of 250 OMR, which limits their strategic value for SCC. The average fee of 116.67 OMR indicates that most opportunities are minor and not aligned with SCC's capabilities.","SCC should deprioritize engagement with this entity and focus on higher-value opportunities.",[],"[""Construction and Maintenance"", ""Construction of Ports Roads Bridges Railways Dams and Maintenance""]","2026-05-19 02:13:55.197049"
5,"Public Establishment for Industrial Estates",7,5,820.0,HIGH,"This establishment issues tenders with a maximum fee of 2500 OMR, indicating potential for significant projects. Although SCC is not currently active in their tenders, the average fee of 820 OMR suggests a range of opportunities that align with SCC's capabilities.","SCC should explore opportunities to participate in upcoming tenders and build relationships with this establishment.","[""Hassan Allam"", ""Galfar"", ""Arab Contractors"", ""Towell""]","[""Construction of Ports Roads Bridges Railways Dams and Maintenance"", ""Construction and Maintenance"", ""Consultancy (Old)""]","2026-05-19 02:13:55.197415"
6,"Oman Broadband Company SAOC",3,1,450.0,medium,"Oman Broadband Company has a limited number of tenders, but the maximum fee of 800 OMR indicates potential for higher-value projects in the future. However, the overall volume of tenders is low, and SCC's engagement should be cautious.","SCC should keep an eye on future opportunities but prioritize higher-value engagements.",[],"[""Supply and Services (Old)"", ""Construction Works (Old)""]","2026-05-19 02:13:55.198423"
7,"Ministry of Education",358,47,25.53,low,"The Ministry of Education primarily issues small-scale tenders focused on maintenance and renovation projects, with an average fee of 25.53 OMR and a maximum fee of 140 OMR. Given the low value of these tenders and the lack of competition from major contractors, SCC should not prioritize engagement with this entity.","SCC should monitor for any potential major construction projects but focus resources elsewhere.",[],"[""Supply"", ""Services"", ""Construction and Maintenance""]","2026-05-19 02:13:55.197767"
8,"Ministry of Health",2162,44,30.69,high,"The Ministry of Health has a significant number of tenders, with some reaching fees up to 299.5 OMR, indicating potential for larger projects in construction and maintenance. While competition exists, particularly from established players like Galfar and L&T, SCC should be prepared for competitive bidding.","SCC should actively pursue tenders from this ministry, focusing on building relationships and showcasing past project successes.","[""Al Tasnim""]","[""Supply"", ""Services"", ""Construction and Maintenance""]","2026-05-19 02:13:55.198117"
9,"Oman Environmental Services Holding Company (S.A.O.C)",67,5,211.88,medium,"This entity has a mix of tenders, with some reaching fees of 1500 OMR, indicating potential for larger projects. However, the overall number of relevant tenders is limited, and competition is not well-defined.","SCC should monitor for larger opportunities while maintaining a selective approach to engagement.",[],"[""Supply"", ""Services"", ""Specialized Companies""]","2026-05-19 02:13:55.199060"
10,"Asyad Shipping Company S.A.O.G.",14,0,250.0,low,"Asyad Shipping Company has a limited number of tenders, all of which are low-value and not relevant to SCC's core competencies. The average fee is only 250 OMR, indicating minimal strategic value.","SCC should not prioritize engagement with this entity unless future tenders align with their capabilities.",[],"[""Services"", ""Supply""]","2026-05-07 02:02:31.712939"
