id,tender_number,score,recommendation,reasoning,scored_at
1,"2026/21/م م ب/ م ر -21",20,SKIP,"The tender is for a Second/Third grade project with a fee of 30 OMR, categorizing it as a minor maintenance job, which is below SCC's operating scale.","2026-05-19 02:04:51.704951"
2,"2026/1602/و ص/م ص-9",25,SKIP,"Although the grade is Excellent, First, the fee is below 30 OMR, making it a minor job that does not align with SCC's core capabilities.","2026-05-19 02:04:51.705396"
3,"2026/1604/و ص/م ص-10",30,SKIP,"This tender involves renovation work, which is categorized as small-scale maintenance, limiting the score despite the First grade.","2026-05-19 02:04:51.705820"
4,"2026/25/و ت ت/ م ر -1 - اعادة طرح - 1",35,SKIP,"The tender is for a Second/Third grade project, which is below SCC's operating scale, resulting in a maximum score of 35.","2026-05-19 02:04:51.706232"
5,"2026/1569/و ص/ق م-48",35,SKIP,"Similar to the other tenders, this project is categorized as Second/Third grade, which does not align with SCC's capabilities.","2026-05-19 02:04:51.706628"
6,"2026/20/م م ب/ م ر -20",35,SKIP,"This tender is also for a Second/Third grade project, which is not suitable for SCC's scale of operations.","2026-05-19 02:04:51.707023"
7,"2026/240/و ت ت/ م ر -149",30,SKIP,"This tender is for electromechanical and telecommunications work, which is outside SCC's core capabilities, despite the Excellent/First grade.","2026-05-19 02:09:41.193515"
8,"2026/18/م م ب/ م ر -18",20,SKIP,"This tender is for a Second/Third grade project with a low fee, making it a minor maintenance job that does not fit SCC's core capabilities.","2026-05-19 02:04:51.707780"
9,"2026/1558/و ص/ م ر -106",20,SKIP,"The tender is for roof waterproofing works with a fee below 30 OMR and a grade of Second/Third, making it too small and below SCC's operating scale.","2026-05-19 02:05:01.472711"
10,"2026/230/و ت ت/ م ر -32",20,SKIP,"This maintenance tender also falls under Second/Third grade with a fee below 30 OMR, which is not aligned with SCC's capabilities.","2026-05-19 02:05:01.474775"
11,"2026/40/ش ت ن ع/ق م ش-32",20,SKIP,"The scope is related to electromechanical and telecommunications, which is outside SCC's core competencies, despite the higher grade classification.","2026-05-19 02:09:08.087808"
12,"2026/10/م م ج ش/ب ج ش-4",70,STRONG_FIT,"This First grade tender has a reasonable scope for construction, although there is competition from Strabag.","2026-05-19 02:09:50.970487"
13,"2026/74/ه ب/ م ر -15",20,SKIP,"The tender is for construction of a desert oasis with a fee below 30 OMR and a grade of Second/Third, which is not suitable for SCC.","2026-05-19 02:05:01.478670"
14,"2026/73/ه ب/ م ر -14",20,SKIP,"Similar to the previous tender, this is also a small-scale construction job with a grade of Second/Third, making it unsuitable for SCC.","2026-05-19 02:05:01.480223"
15,"2026/216/و ز ث س م/ م ر -18",20,SKIP,"This tender is for a construction project with a fee below 30 OMR and a grade of Second/Third, which does not align with SCC's capabilities.","2026-05-19 02:05:01.481923"
16,"2026/223/و ت ت/ م ر -4",30,SKIP,"The renovation works tender is for a Second grade project, which SCC should avoid due to its lower classification and scope.","2026-05-19 02:05:01.486335"
17,"2026/214/و ت ت/ م ر -3",20,SKIP,"This tender is for restoration work and has a grade of Second with a fee above 30 OMR, but still falls below SCC's operational scale.","2026-05-19 02:05:11.271431"
18,"2026/16/ب م ع/ م ر -11",80,STRONG_FIT,"This tender has an Excellent grade and aligns well with SCC's capabilities, with low competition and a reasonable fee.","2026-05-19 02:05:11.272002"
19,"2026/37/ش ت ن ع/ق م ش-30",30,SKIP,"The scope of maintenance for greenhouses does not align with SCC's core capabilities, leading to a low score.","2026-05-19 02:05:11.272398"
20,"2025/64/م م/ م ر -19 - اعادة طرح - 1",85,STRONG_FIT,"This tender has a strong historical win rate for SCC and aligns well with its core capabilities, making it a valuable pursuit.","2026-05-19 02:09:18.677151"
21,"2026/5/مواصلات/ م ر -3",20,SKIP,"The tender fee is 0 OMR and it falls under a Second/Third grade classification, making it too small for SCC's scale.","2026-05-19 02:09:08.085466"
22,"2026/20/م م/ م ك-15",35,WATCH,"This tender has a mixed grade of First/Second and a low fee, which limits its attractiveness for SCC, but it may be worth monitoring for potential changes.","2026-05-19 02:10:00.309773"
23,"2025/798/و ز ث س م/ م ر -90 - اعادة طرح - 1",75,CONSIDER,"This tender is for detailed design and construction with an Excellent grade, but competition may be higher.","2026-05-19 02:05:11.273935"
24,"2026/181/و ت ت/ م ر -2",20,SKIP,"Similar to the previous education tenders, this restoration work falls below SCC's operational scale due to its Second grade.","2026-05-19 02:05:11.274229"
25,"2026/5/عُمران/ م ر -5",90,MUST_BID,"This tender involves core construction work with an Excellent and First grade, indicating a strong alignment with SCC's capabilities.","2026-05-19 02:05:19.808567"
26,"2026/1/ج س ق/ م ر -1 - اعادة طرح - 1",30,SKIP,"The scope involves repainting, which is outside SCC's core capabilities, and the historical competition indicates a challenging bidding environment.","2026-05-19 02:10:00.305974"
27,"2026/12/ب م ع/د ش إ-1",30,SKIP,"The tender is for an annual maintenance contract, which does not align with SCC's core capabilities in large-scale civil infrastructure.","2026-05-19 02:05:19.809524"
28,"2026/1140/و ص/ م ر -82",30,SKIP,"This tender involves maintenance works, which are not aligned with SCC's focus on larger infrastructure projects.","2026-05-19 02:05:19.809886"
29,"2025/19/ج س ق/ م ر -16 - اعادة طرح - 1",90,MUST_BID,"This tender involves construction work with an Excellent and First grade, making it a strong fit for SCC's capabilities.","2026-05-19 02:05:19.810184"
