id,article_id,relevant,scc_implication,category,priority,analysed_at
1,159,0,,,,"2026-05-02 01:59:20"
2,160,0,,,,"2026-05-02 01:59:20"
3,161,0,,,,"2026-05-02 01:59:20"
4,162,0,,,,"2026-05-02 01:59:20"
5,163,0,,,,"2026-05-02 01:59:20"
6,164,0,,,,"2026-05-02 01:59:20"
7,165,0,,,,"2026-05-02 01:59:20"
8,166,0,,,,"2026-05-02 01:59:20"
9,189,1,"Hafeet Rail project is currently at 40% completion on the Oman–UAE link, indicating ongoing rail infrastructure development. This may lead to future civil works opportunities in rail construction in the Al Batinah region.",PROJECT,MEDIUM,"2026-05-02 01:59:20"
10,167,0,,,,"2026-05-02 01:59:20"
11,168,0,,,,"2026-05-02 01:59:33"
12,169,0,,,,"2026-05-02 01:59:33"
13,1,0,,,,"2026-05-02 01:59:33"
14,2,0,,,,"2026-05-02 01:59:33"
15,3,0,,,,"2026-05-02 01:59:33"
16,4,0,,,,"2026-05-02 01:59:33"
17,170,0,,,,"2026-05-02 01:59:33"
18,171,0,,,,"2026-05-02 01:59:33"
19,172,0,,,,"2026-05-02 01:59:33"
20,173,0,,,,"2026-05-02 01:59:33"
21,174,0,,,,"2026-05-02 01:59:41"
22,175,0,,,,"2026-05-02 01:59:41"
23,176,0,,,,"2026-05-02 01:59:41"
24,5,0,,,,"2026-05-02 01:59:41"
25,177,0,,,,"2026-05-02 01:59:41"
26,6,0,,,,"2026-05-02 01:59:41"
27,7,0,,,,"2026-05-02 01:59:41"
28,178,0,,,,"2026-05-02 01:59:41"
29,8,0,,,,"2026-05-02 01:59:41"
30,9,0,,,,"2026-05-02 01:59:41"
31,16,1,"Mwasalat's fleet modernisation plans for 2026-28 may require infrastructure upgrades for bus depots and maintenance facilities. Muscat governorate could see related civil works tenders in the coming years.",PROJECT,MEDIUM,"2026-05-02 01:59:54"
32,12,0,,,,"2026-05-02 01:59:54"
33,10,0,,,,"2026-05-02 01:59:54"
34,11,0,,,,"2026-05-02 01:59:54"
35,13,0,,,,"2026-05-02 01:59:54"
36,14,0,,,,"2026-05-02 01:59:54"
37,15,0,,,,"2026-05-02 01:59:54"
38,17,0,,,,"2026-05-02 01:59:54"
39,179,0,,,,"2026-05-02 01:59:54"
40,180,0,,,,"2026-05-02 01:59:54"
